Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14,Data_15,Data_16,TimeStampGlob
1,0,0,3,6,0,2,1,22,3,19,7,0,11,6,7,2.22330403327942
0,1,0,2,57,0,31,0,30,3,5,0,2,5,3,9,2.23285341262817
1,0,0,0,77,0,90,0,26,0,3,0,0,74,4,3,2.24300122261047
0,3,0,2,53,0,50,9,26,2,26,10,0,4,7,9,2.25276350975037
1,15,0,4,18,3,30,2,29,0,15,0,0,5,6,9,2.26249837875366
1,59,0,1,0,0,0,4,35,2,1,5,0,1,8,8,2.27238178253174
2,2,6,0,16,0,22,1,14,0,11,0,0,1,6,11,2.28204441070557
77,1,138,0,2,2,0,4,36,0,0,0,0,0,7,25,2.2920286655426
8,22,7,1,4,182,0,213,128,108,0,22,0,0,33,2,2.30209112167358
9,81,2,5,103,3,75,9,58,1,25,71,0,0,6,7,2.31169056892395
14,3,39,0,4,19,0,17,57,8,2,0,5,0,5,46,2.32179307937622
5,3,4,0,1,5,0,9,42,0,0,2,5,0,6,12,2.33123826980591
2,4,0,0,0,0,0,0,114,0,1,1,0,0,6,6,2.34064888954163
4,11,2,0,5,124,0,100,71,3,0,0,0,0,10,4,2.35079908370972
5,49,4,0,70,7,25,4,127,0,1,49,0,4,8,7,2.36072278022766
3,6,0,2,45,6,4,4,88,0,3,4,0,0,5,11,2.37060284614563
42,0,4,0,4,4,1,1,83,0,1,3,0,0,6,61,2.38018488883972
4,3,2,0,2,22,3,20,102,4,0,1,0,1,9,66,2.39010214805603
2,0,0,0,0,46,0,1,71,3,1,0,0,2,8,107,2.39944887161255
12,189,2,1,0,6,7,8,45,0,5,129,0,153,4,227,2.40955901145935
4,102,2,5,75,9,0,13,155,0,27,123,46,237,1,326,2.41994023323059
17,51,32,0,5,1,0,11,84,0,6,151,62,355,4,373,2.4304666519165
2,0,0,0,0,0,0,8,79,0,7,131,67,477,3,443,2.44012427330017
2,0,1,0,0,0,0,9,79,0,9,176,118,529,2,479,2.45016765594482
3,86,3,1,8,16,0,8,148,0,5,293,148,549,2,543,2.46071290969849
48,1,42,0,0,127,0,43,88,0,5,348,135,570,3,567,2.47069692611694
1,0,1,0,0,105,3,11,92,0,7,374,151,583,2,567,2.48075890541077
1,0,0,0,0,180,0,92,102,1,6,420,152,593,0,578,2.49103403091431
0,0,0,0,0,136,0,8,103,0,7,432,143,601,3,537,2.50130105018616
0,1,0,0,0,140,0,2,107,0,6,385,143,589,2,583,2.51147055625916
0,184,1,0,0,172,0,15,189,0,28,573,143,601,1,590,2.52202224731445
52,94,115,2,6,166,5,13,207,0,19,581,153,612,1,689,2.53232002258301
0,13,3,0,64,166,62,7,226,0,22,497,150,626,3,595,2.54222869873047
0,0,0,0,3,163,75,8,230,1,5,459,144,623,0,593,2.55272054672241
0,0,0,0,0,164,107,5,230,0,0,466,122,622,0,523,2.56299471855164
0,0,0,0,0,187,129,61,235,15,0,498,148,625,0,549,2.5737464427948
0,2,0,0,28,174,185,9,238,0,4,501,188,680,0,616,2.58370518684387
1,3,0,9,0,170,148,8,244,0,55,532,185,629,0,589,2.59418630599976
1,1,0,5,0,184,152,10,247,0,23,494,194,631,0,597,2.60405158996582
0,0,2,2,0,195,159,1,281,0,7,499,190,633,2,599,2.61451554298401
0,0,0,10,11,195,229,16,286,0,6,442,199,694,1,619,2.62500882148743
8,0,0,0,0,203,168,78,297,140,5,480,250,638,62,664,2.63543963432312
0,6,0,127,0,189,100,8,268,0,149,489,198,605,0,617,2.64592552185059
0,0,0,38,1,206,181,8,308,0,29,471,204,473,0,618,2.65652012825012
1,2,0,2,0,216,184,10,309,0,5,474,171,648,2,599,2.66665959358215
0,0,0,0,0,243,189,9,316,1,5,474,207,726,17,621,2.67646408081055
13,5,0,59,0,256,189,11,310,0,21,464,237,634,3,621,2.68743777275085
6,4,1,54,0,261,185,11,335,0,13,464,202,636,2,618,2.69759273529053
0,0,1,0,0,257,188,10,339,0,4,450,180,629,2,618,2.70815443992615
2,0,1,0,0,279,194,11,355,0,8,445,202,629,2,614,2.71852278709412
