Time,data
1738248616.2211018,-19.315070094813628
1738248616.2375975,-19.44427794849089
1738248616.2553966,-18.66583592120977
1738248616.2716234,-17.901131109266817
1738248616.288448,-16.839317261423428
1738248616.3053198,-15.926277346550933
1738248616.3218918,-14.99164087943451
1738248616.3379874,-14.026227269070409
1738248616.3555827,-13.413393442007719
1738248616.3726113,-12.517358353944031
1738248616.388015,-11.637480170400831
1738248616.4056969,-10.362363317695117
1738248616.4225008,-9.122828798874274
1738248616.4385834,-8.100331164411818
1738248616.4563644,-7.179022930302519
1738248616.471993,-6.526930175553272
1738248616.4881368,-5.636812021320949
1738248616.5060747,-4.6843575475178145
1738248616.5229352,-3.731903073714679
1738248616.5385225,-2.7805953923546163
1738248616.5564063,-2.1413663574945847
1738248616.5717678,-1.205351280417444
1738248616.588415,-0.31678166330235047
1738248616.6057122,0.7339804085116781
1738248616.6227012,1.6318823273904972
1738248616.6384242,2.588720829763836
1738248616.6562994,3.6599050044738646
1738248616.671664,4.805912979603169
1738248616.688563,5.696913296231363
1738248616.7055304,6.374214629020024
1738248616.7229855,6.568429832707916
1738248616.7385137,6.173322063433364
1738248616.7563667,5.50111706981015
1738248616.7726672,4.862972240137475
1738248616.7891674,3.7198754377742174
1738248616.8067644,1.5218754546372852
1738248616.8237035,-1.2120507262475322
1738248616.839389,-5.131627748851951
1738248616.8576136,-9.538648034789658
1738248616.8748965,-14.154432968563347
1738248616.8897765,-16.191342509836744
1738248616.9071264,-16.61770008226106
1738248616.924841,-15.524072726196273
1738248616.9393754,-14.864593737096595
1738248616.9575567,-14.062894224436182
1738248616.9749408,-13.637382875091586
1738248616.990357,-13.02308515890569
1738248617.0076575,-12.137904876617403
1738248617.0258346,-11.277338879710385
1738248617.0406618,-10.183617529432414
1738248617.0582502,-9.307530979468487
1738248617.0749164,-8.69728451755996
1738248617.0907745,-8.285608702581236
1738248617.1079845,-8.126766940784197
1738248617.1255913,-7.883364808522597
1738248617.1407044,-7.754905082258133
1738248617.1582825,-7.835526385271934
1738248617.1761112,-8.75459949153661
