Time,Phase_Change_Indices
1738245265.890343,0.0
1738245265.909104,0.0
1738245265.9258864,0.0
1738245265.9405725,0.0
1738245265.9583628,0.0
1738245265.975878,0.0
1738245265.9906085,0.0
1738245266.0092697,0.0
1738245266.0258107,0.0
1738245266.0415404,0.0
1738245266.059746,0.0
1738245266.0765476,0.0
1738245266.091335,0.0
1738245266.1105037,0.0
1738245266.1263847,0.0
1738245266.1419728,0.0
1738245266.1618376,0.0
1738245266.176947,0.0
1738245266.1922724,0.0
1738245266.2120414,0.0
1738245266.2272964,0.0
1738245266.242542,0.0
1738245266.262687,0.0
1738245266.27786,0.0
1738245266.2927144,0.0
1738245266.3124068,0.0
1738245266.3278966,0.0
1738245266.342375,0.0
1738245266.362137,0.0
1738245266.3777075,0.0
1738245266.3922496,0.0
1738245266.4119022,0.0
1738245266.4282448,0.0
1738245266.4429717,0.0
1738245266.461773,0.0
1738245266.4774876,0.0
1738245266.4926646,0.0
1738245266.511655,0.0
1738245266.5278254,0.0
1738245266.5427551,0.0
1738245266.5619874,0.0
1738245266.5776937,0.0
1738245266.5922458,0.0
1738245266.6119468,0.0
1738245266.6278646,0.0
1738245266.6425264,0.0
1738245266.6615405,0.0
1738245266.677727,0.0
1738245266.692304,0.0
1738245266.7119615,0.0
1738245266.7276766,0.0
1738245266.7428932,0.0
1738245266.7615826,0.0
1738245266.7770183,0.0
1738245266.7930658,0.0
1738245266.813228,0.0
1738245266.8285568,0.0
1738245266.8429973,0.0
1738245266.86281,0.0
1738245266.877673,0.0
1738245266.8936317,0.0
1738245266.915018,0.0
1738245266.9296975,0.0
1738245266.9455423,0.0
1738245266.96461,0.0
1738245266.979558,0.0
1738245266.9953525,0.0
1738245267.015165,0.0
1738245267.0307243,0.0
1738245267.0458655,0.0
1738245267.0658152,0.0
1738245267.0820904,0.0
1738245267.0986173,0.0
1738245267.1167302,0.0
1738245267.1340406,0.0
1738245267.151575,0.0
1738245267.167977,0.0
1738245267.1860762,0.0
1738245267.2034106,0.0
1738245267.2204187,0.0
1738245267.237389,0.0
1738245267.2536652,0.0
1738245267.2742577,0.0
